ID,Catalog_ID,SMILES,PriceG,PriceMol,MW,HAcp,HDon,RotBnd,HvyAtm,Rings,HetAtm,tPSA,LogP
C511,EN300-45043,O=C(O)c1ccc2cccnc2c1O,8.2,1551.1939999999997,189.17,3,2,1,14,2,4,70.42,1.6385999999999998
C512,EN300-80483,COc1cc2cc(C(=O)O)[nH]c2cc1OC,17.4,3849.0887999999995,221.212,3,2,3,16,2,5,71.55,1.8832999999999998
C515,EN300-40286,O=C(O)c1cccnc1N1CCCCC1,34.4,7094.827999999997,206.24499999999992,3,1,2,15,2,4,53.43,1.7701
C522,EN300-56953,O=C(O)c1cccc(CO)c1,7.5,1141.1175,152.149,2,2,2,11,1,3,57.53,0.8770999999999998
C544,EN300-09625,O=C(O)c1ccc2c(c1)C(=O)N(Cc1ccccc1)C2=O,7.2,2025.1224,281.267,3,1,3,21,3,5,74.68,2.181
C545,EN300-10593,O=C(O)CN1C(=O)COc2ccccc21,34.2,7085.727000000001,207.185,3,1,2,15,2,5,66.84,0.49659999999999943
C547,EN300-13339,O=C(O)Cc1ccc(OC(F)F)cc1,34.6,6994.597599999999,202.15599999999998,2,1,4,14,1,5,46.53,1.9151
C561,EN300-13701,O=C(O)c1ccc(F)cc1Br,0.46,100.74414,219.009,1,1,1,11,1,4,37.3,2.2864000000000004
C569,EN300-61019,O=C(O)c1cccc(F)c1F,0.83,131.22548999999998,158.10299999999998,1,1,1,11,1,4,37.3,1.663
C570,EN300-21604,O=C(O)C1(c2ccc(F)cc2)CCCC1,8.6,1790.7951999999993,208.23199999999994,1,1,2,15,2,3,37.3,2.722100000000001
C573,EN300-70094,O=C(O)Cc1ccccc1C(F)(F)F,1.29,263.34962999999993,204.14699999999993,1,1,2,14,1,5,37.3,2.3325000000000005
C596,EN300-09075,COc1cc(C(=O)O)cc(Cl)c1OC,17.2,3725.8639999999996,216.61999999999998,3,1,3,14,1,5,55.760000000000005,2.0553999999999997
C601,EN300-51029,O=C(O)c1ncccc1O,1.74,242.05139999999997,139.10999999999999,3,2,1,10,1,4,70.42,0.4853999999999999
C607,EN300-06157,Cc1ccc(N2CC(C(=O)O)CC2=O)cc1,18.6,4077.8640000000005,219.24,2,1,2,16,2,4,57.61000000000001,1.43252
C613,EN300-05691,O=C(O)Cc1ccc2c(c1)OCCO2,32.8,6369.300799999998,194.18599999999995,3,1,2,14,2,4,55.760000000000005,1.0849
C618,EN300-91509,Cc1ccc([N+](=O)[O-])c(C(=O)O)c1,0.69,124.99143000000001,181.14700000000002,3,1,2,13,1,5,80.44,1.60142
C620,EN300-55949,O=C(O)c1nccc2ccccc12,0.89,154.12219,173.171,2,1,1,13,2,3,50.19,1.9329999999999998
C624,EN300-10949,CS(=O)(=O)c1ccc(C(=O)O)cc1,0.76,152.1634,200.215,3,1,2,13,1,5,79.82000000000001,0.7883000000000002
C627,EN300-09239,O=C(O)c1cccc(-n2cnnn2)c1,9.2,1749.4904,190.162,4,1,2,14,2,6,80.89999999999999,0.3604999999999999
C628,EN300-10954,CC(Sc1ccccc1)C(=O)O,9.5,1731.3179999999998,182.24399999999997,2,1,3,12,1,3,62.60000000000001,2.2517999999999994
C650,EN300-04016,Cn1ccnc1C(=O)O,6.6,832.3589999999998,126.11499999999998,2,1,1,9,1,4,55.120000000000005,0.1182999999999999
C659,EN300-09067,O=C(O)c1ccc(S(=O)(=O)C(F)F)cc1,24.0,5668.679999999999,236.19499999999996,3,1,3,15,1,7,79.82,1.3811000000000002
C668,EN300-11377,O=C(O)C1CC(=O)N(c2cccc3ccccc23)C1,34.2,8730.336600000002,255.27300000000002,2,1,2,19,3,4,57.61,2.2773000000000003
