ID,SMILES,PriceMol,QED,Violation,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm,AD_Distance,In_AD,pIC50_COX2_pred,pIC50_COX1_pred,IC50_COX2_pred_nM,IC50_COX1_pred_nM,SI_pred,QSAR_score
A97C37S,N#Cc1ccc(/C=C2\N=C(C34CC5CC(CC(C5)C3)C4)SC2=O)cc1,182.24679,0.7223,Lipinski,53.22,2,4.787480000000004,348.471,0,4,99.77200000000003,25,25,6,21,4,2.863304478210959,True,7.159719805553227,5.3554616086248545,69.22774646001508,4411.01354496658,63.717422139608665,8.9639780024816
A97C23S,N#Cc1ccc(/C=C2\N=C(Cc3ccc(Br)cc3)SC2=O)cc1,192.84692,0.7296,Lipinski,53.22,3,4.576280000000002,383.27000000000004,0,4,97.01300000000002,23,23,3,18,5,1.7179545485901424,True,6.9864765487082,5.087136129181074,103.16287844403296,8182.082813495388,79.31227721543522,8.885816968235327
A13C37S,COc1ccc(/C=C2\N=C(C34CC5CC(CC(C5)C3)C4)SC2=O)cc1,185.45702999999995,0.7237,Lipinski,38.66,3,4.924400000000005,353.487,0,4,101.60900000000004,25,25,6,21,4,2.8347759062360103,True,7.155745035402327,5.514330862234125,69.86424410883569,3059.631600572964,43.79395554336234,8.797159208570529
A60C37S,COc1ccccc1/C=C1\N=C(C23CC4CC(CC(C4)C2)C3)SC1=O,160.95002999999997,0.7237,Lipinski,38.66,3,4.924400000000004,353.48700000000014,0,4,101.60900000000004,25,25,6,21,4,2.8347759062360103,True,7.155745035402327,5.514330862234125,69.86424410883569,3059.631600572964,43.79395554336234,8.797159208570529
A97C4S,COc1ccc(Br)c(C2=N/C(=C\c3ccc(C#N)cc3)C(=O)S2)c1,285.69311,0.7186,Lipinski,62.449999999999996,3,4.390480000000003,399.2690000000001,0,5,98.963,24,24,3,18,6,1.401245718225778,True,7.042261573893165,5.348131004264474,90.7273917998314,4486.10046988434,49.445932269075506,8.736392143521856
A97C32S,COc1ccc(C2=N/C(=C\c3ccc(C#N)cc3)C(=O)S2)c(Br)c1,334.21256,0.7186,Lipinski,62.449999999999996,3,4.390480000000002,399.26900000000006,0,5,98.96300000000004,24,24,3,18,6,1.4012457182257778,True,7.042261573893165,5.348131004264474,90.7273917998314,4486.10046988434,49.445932269075506,8.736392143521856
A86C4S,COc1ccc(Br)c(C2=N/C(=C\c3ccco3)C(=O)S2)c1,245.96645,0.7695,none,51.800000000000004,3,4.111800000000002,364.2200000000001,0,5,86.51400000000001,21,21,3,15,6,1.9749234284090353,True,6.66294380098199,4.652116297468428,217.2982351152138,22278.384880632853,102.52446306717871,8.673771304495553
A48C4S,COc1ccc(Br)c(C2=N/C(=C\c3ccoc3)C(=O)S2)c1,1239.48535,0.7695,none,51.800000000000004,3,4.111800000000002,364.2200000000001,0,5,86.51400000000001,21,21,3,15,6,1.9749234284090353,True,6.66294380098199,4.652116297468428,217.2982351152138,22278.384880632853,102.52446306717871,8.673771304495553
A86C32S,COc1ccc(C2=N/C(=C\c3ccco3)C(=O)S2)c(Br)c1,294.4859,0.7695,none,51.800000000000004,3,4.111800000000002,364.22,0,5,86.51400000000001,21,21,3,15,6,1.9749234284090353,True,6.66294380098199,4.652116297468428,217.2982351152138,22278.384880632853,102.52446306717871,8.673771304495553
A48C32S,COc1ccc(C2=N/C(=C\c3ccoc3)C(=O)S2)c(Br)c1,1288.0048,0.7695,none,51.800000000000004,3,4.111800000000002,364.22,0,5,86.51400000000001,21,21,3,15,6,1.9749234284090353,True,6.66294380098199,4.652116297468428,217.2982351152138,22278.384880632853,102.52446306717871,8.673771304495553
A70C27S,O=C1SC(c2ccccn2)=N/C1=C\c1cnc2ccccc2n1,4042.791039999999,0.6792,none,68.1,2,3.0859000000000014,318.36100000000005,0,6,90.88700000000001,23,23,4,17,6,1.9740372212352784,True,6.318366987065098,3.9840922411459436,480.43320171559674,103730.80753545174,215.91098859328528,8.652641732984254
A70C39S,O=C1SC(c2cccnc2)=N/C1=C\c1cnc2ccccc2n1,4020.6310599999993,0.6792,none,68.1,2,3.0859000000000005,318.361,0,6,90.88700000000001,23,23,4,17,6,1.9740372212352786,True,6.318366987065098,3.9840922411459436,480.43320171559674,103730.80753545174,215.91098859328528,8.652641732984254
A91C14S,O=C1SC(c2ccnc3ccccc23)=N/C1=C\c1cnccn1,2259.8492399999996,0.6792,none,68.1,2,3.0859000000000014,318.361,0,6,90.887,23,23,4,17,6,1.9740372212352786,True,6.318366987065098,3.9840922411459436,480.43320171559674,103730.80753545174,215.91098859328528,8.652641732984254
A70C21S,O=C1SC(c2ccncc2)=N/C1=C\c1cnc2ccccc2n1,4020.6310599999993,0.6792,none,68.1,2,3.0859000000000005,318.36100000000005,0,6,90.88700000000001,23,23,4,17,6,1.9740372212352786,True,6.318366987065098,3.9840922411459436,480.43320171559674,103730.80753545174,215.91098859328528,8.652641732984254
A91C3S,O=C1SC(c2cnc3ccccc3c2)=N/C1=C\c1cnccn1,1655.4824499999995,0.6792,none,68.1,2,3.0859000000000014,318.36100000000005,0,6,90.88699999999999,23,23,4,17,6,1.9740372212352786,True,6.318366987065098,3.9840922411459436,480.43320171559674,103730.80753545174,215.91098859328528,8.652641732984254
A13C14S,COc1ccc(/C=C2\N=C(c3ccnc4ccccc34)SC2=O)cc1,866.01524,0.6634,Lipinski,51.550000000000004,3,4.304500000000003,346.4110000000001,0,5,101.84900000000003,25,25,4,20,5,1.591597691714031,True,6.6848859144152435,4.717300630931556,206.59227854417915,19173.41043454619,92.80797215490323,8.652471197898931
A13C3S,COc1ccc(/C=C2\N=C(c3cnc4ccccc4c3)SC2=O)cc1,261.64844999999997,0.6634,Lipinski,51.550000000000004,3,4.304500000000003,346.41100000000006,0,5,101.84900000000002,25,25,4,20,5,1.5915976917140313,True,6.6848859144152435,4.717300630931556,206.59227854417915,19173.41043454619,92.80797215490323,8.652471197898931
A60C14S,COc1ccccc1/C=C1\N=C(c2ccnc3ccccc23)SC1=O,841.50824,0.6634,Lipinski,51.550000000000004,3,4.304500000000002,346.41100000000006,0,5,101.84900000000002,25,25,4,20,5,1.5915976917140313,True,6.6848859144152435,4.717300630931556,206.59227854417915,19173.41043454619,92.80797215490323,8.652471197898931
A60C3S,COc1ccccc1/C=C1\N=C(c2cnc3ccccc3c2)SC1=O,237.14144999999996,0.6634,Lipinski,51.550000000000004,3,4.304500000000002,346.41100000000006,0,5,101.84900000000003,25,25,4,20,5,1.591597691714031,True,6.6848859144152435,4.717300630931556,206.59227854417915,19173.41043454619,92.80797215490323,8.652471197898931
A97C15S,N#Cc1ccc(/C=C2\N=C(/C=C/c3c[nH]cn3)SC2=O)cc1,660.2423599999998,0.8837,none,81.9,3,3.007580000000001,306.3500000000001,1,5,86.7887,22,22,3,16,6,1.8360856332028184,True,6.821336883002821,5.072331852427905,150.8909236500221,8465.80279314401,56.10544748721717,8.570341913577735
A97C24S,N#Cc1ccc(/C=C2\N=C(c3c(F)cccc3Br)SC2=O)cc1,293.22395,0.7124,Lipinski,53.22,2,4.5209800000000016,387.233,0,4,92.36900000000001,23,23,3,17,6,1.8407507233862204,True,6.500598966536195,4.453192258868038,315.79193433292903,35221.49136577698,111.53385358045314,8.548005674204353
A91C23S,O=C1SC(Cc2ccc(Br)cc2)=N/C1=C\c1cnccn1,1589.8911599999997,0.7866,none,55.21,3,3.494600000000002,360.23600000000005,0,5,87.888,21,21,3,15,6,1.963463325218938,True,6.475921928768871,4.550483203918735,334.25512221590543,28152.488911074965,84.22455495802522,8.401360653619008
A97C2S,Cc1ccc(C2=N/C(=C\c3ccc(C#N)cc3)C(=O)S2)c(Br)c1,220.80289999999997,0.7073,Lipinski,53.22,2,4.690300000000002,383.27000000000004,0,4,97.14800000000004,23,23,3,18,5,1.8961957158931566,True,6.734108523632091,5.0924547833062945,184.45544352894407,8082.490758147653,43.818119994270475,8.375762263957887
