Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL281847;;;414.89;0;3.34;From table 1;COc1ccc2c(c1)c(CC(=O)N[C@@H](C)CO)c(C)n2C(=O)c1ccc(Cl)cc1;IC50;'=';270.0;nM;6.57;;;UO_0000065;15.83;0.31;3.23;8.15;1;CHEMBL832746;Inhibitory concentration against human Prostaglandin G/H synthase 2 (COX-2);B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1139515;1;Scientific Literature;J Med Chem;2005;;;;;0.27
CHEMBL285828;;;442.94;0;3.98;From table 1;COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)C(C)C)c(C)n2C(=O)c1ccc(Cl)cc1;IC50;'=';110.0;nM;6.96;;;UO_0000065;15.71;0.31;2.98;8.64;1;CHEMBL832746;Inhibitory concentration against human Prostaglandin G/H synthase 2 (COX-2);B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1139515;1;Scientific Literature;J Med Chem;2005;;;;;0.11
CHEMBL1221730;;;362.49;1;5.46;M11;CCC(=C(c1ccccc1)c1ccccc1)c1ccc(S(C)(=O)=O)cc1;IC50;'=';1250.0;nM;5.90;;;UO_0000065;16.28;0.31;0.44;17.29;1;CHEMBL3076632;Inhibition of COX2 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3045408;1;Scientific Literature;Med Chem Res;2013;;;;;1.25
CHEMBL146703;;;353.21;0;3.86;20;Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCC(=O)O)c1Cl;IC50;'=';300.0;nM;6.52;;;UO_0000065;18.47;0.39;2.66;8.32;0;CHEMBL771918;Inhibition of the human Prostaglandin G/H synthase 2 was determined by thin-layer chromatography assay;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1135055;1;Scientific Literature;Bioorg Med Chem Lett;2002;;;;;0.3
CHEMBL118;CELECOXIB;4.0;381.38;0;3.51;1, celecoxib;Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1;IC50;'=';280.0;nM;6.55;;;UO_0000065;17.18;0.34;3.04;8.40;1;CHEMBL3128455;Inhibition of human recombinant COX2 using arachidonic acid as substrate incubated for 10 mins prior to substrate addition measured after 2 mins by enzyme immunoassay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3124807;1;Scientific Literature;Eur J Med Chem;2014;;;;;0.28
CHEMBL3127307;;;453.40;0;3.67;3b;COc1c(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)c(O)cc2occc12;IC50;'=';7000.0;nM;5.16;;;UO_0000065;11.37;0.23;1.48;4.28;0;CHEMBL3128455;Inhibition of human recombinant COX2 using arachidonic acid as substrate incubated for 10 mins prior to substrate addition measured after 2 mins by enzyme immunoassay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3124807;1;Scientific Literature;Eur J Med Chem;2014;;;;;7.0
CHEMBL3289925;;;480.60;1;5.90;2;CCOC(OCC)c1ccc(/C=C2\COC/C(=C\c3ccc(C(OCC)OCC)cc3)C2=O)cc1;IC50;'=';11210.0;nM;4.95;;;UO_0000065;10.30;0.19;-0.95;7.83;0;CHEMBL3370271;Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352402;1;Scientific Literature;Bioorg Med Chem;2014;;;;;11.21
CHEMBL3289934;;;450.50;0;4.86;11;CN(C)c1ccc(/C=C2/CCC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL3370271;Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352402;1;Scientific Literature;Bioorg Med Chem;2014;;;;;100.0
CHEMBL3309947;;;452.47;0;3.70;12;CN(C)c1ccc(/C=C2\COC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1;IC50;'=';18550.0;nM;4.73;;;UO_0000065;10.46;0.20;1.03;3.97;0;CHEMBL3370271;Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352402;1;Scientific Literature;Bioorg Med Chem;2014;;;;;18.55
CHEMBL3289940;;;436.47;0;4.46;17;CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL3370271;Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352402;1;Scientific Literature;Bioorg Med Chem;2014;;;;;100.0
CHEMBL3309954;;;414.55;0;4.95;22;O=C1/C(=C/c2ccc(N3CCCC3)cc2)COC/C1=C\c1ccc(N2CCCC2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL3370271;Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352402;1;Scientific Literature;Bioorg Med Chem;2014;;;;;100.0
CHEMBL3290193;;;398.55;1;5.72;27;O=C1/C(=C/c2ccc(N3CCCC3)cc2)CC/C1=C\c1ccc(N2CCCC2)cc1;IC50;'=';46220.0;nM;4.33;;;UO_0000065;10.88;0.20;-1.38;18.41;0;CHEMBL3370271;Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352402;1;Scientific Literature;Bioorg Med Chem;2014;;;;;46.22
CHEMBL3322400;;;334.83;0;3.01;14;CS(=O)(=O)c1ccc(N2CCN=C2c2cccc(Cl)c2)cc1;IC50;'=';8100.0;nM;5.09;;;UO_0000065;15.21;0.32;2.08;10.24;0;CHEMBL3365665;Inhibition of human recombinant COX2 using fluorometric substrate by fluorescent inhibitor screening assay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352168;1;Scientific Literature;Eur J Med Chem;2014;;;;;8.1
CHEMBL3322404;;;364.85;0;3.02;18;COc1ccc(C2=NCCN2c2ccc(S(C)(=O)=O)cc2)cc1Cl;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL3365665;Inhibition of human recombinant COX2 using fluorometric substrate by fluorescent inhibitor screening assay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352168;1;Scientific Literature;Eur J Med Chem;2014;;;;;10.0
CHEMBL3322412;;;380.27;0;2.36;26;NS(=O)(=O)c1ccc(N2CCN=C2c2cccc(Br)c2)cc1;IC50;'=';2900.0;nM;5.54;;;UO_0000065;14.56;0.34;3.18;7.31;0;CHEMBL3365665;Inhibition of human recombinant COX2 using fluorometric substrate by fluorescent inhibitor screening assay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352168;1;Scientific Literature;Eur J Med Chem;2014;;;;;2.9
CHEMBL3322415;;;335.82;0;2.25;29;NS(=O)(=O)c1ccc(N2CCN=C2c2cccc(Cl)c2)cc1;IC50;'=';2500.0;nM;5.60;;;UO_0000065;16.68;0.35;3.35;7.39;0;CHEMBL3365665;Inhibition of human recombinant COX2 using fluorometric substrate by fluorescent inhibitor screening assay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352168;1;Scientific Literature;Eur J Med Chem;2014;;;;;2.5
CHEMBL3322416;;;315.40;0;1.91;30;Cc1cccc(C2=NCCN2c2ccc(S(N)(=O)=O)cc2)c1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL3365665;Inhibition of human recombinant COX2 using fluorometric substrate by fluorescent inhibitor screening assay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL3352168;1;Scientific Literature;Eur J Med Chem;2014;;;;;10.0
