Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL389849;BAUHINOXEPIN H;;286.28;0;2.04;6, bauhinoxepin H;COC1=C(C)C(=O)C2=C(CCc3c(O)cccc3O2)C1=O;IC50;'>';34900.0;nM;;;;UO_0000065;;;;;0;CHEMBL914259;Inhibition of COX2 by radioimmunoassay method;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1139892;1;Scientific Literature;J Nat Prod;2007;;;;;34.9
CHEMBL224201;;;366.34;0;2.18;17b;O=S(=O)(c1ccccc1)c1cnccc1NS(=O)(=O)C(F)(F)F;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL916302;Inhibition of COX2 in human whole blood assessed as inhibition of LPS-stimulated PGE2 production;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1149303;1;Scientific Literature;J Med Chem;2004;;;;;100.0
CHEMBL223655;;;312.78;0;3.29;12s;CCS(=O)(=O)Nc1ccncc1Oc1ccc(Cl)cc1;IC50;'=';3280.0;nM;5.48;;;UO_0000065;17.53;0.37;2.19;8.03;0;CHEMBL916302;Inhibition of COX2 in human whole blood assessed as inhibition of LPS-stimulated PGE2 production;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1149303;1;Scientific Literature;J Med Chem;2004;;;;;3.28
CHEMBL387879;;;387.17;0;4.44;12p;O=S(=O)(Nc1ccncc1Oc1ccc(Cl)cc1Cl)C(F)(F)F;IC50;'=';2550.0;nM;5.59;;;UO_0000065;14.45;0.33;1.15;8.19;0;CHEMBL916302;Inhibition of COX2 in human whole blood assessed as inhibition of LPS-stimulated PGE2 production;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1149303;1;Scientific Literature;J Med Chem;2004;;;;;2.55
CHEMBL388625;;;298.75;0;2.90;12d;CS(=O)(=O)Nc1ccncc1Oc1ccc(Cl)cc1;IC50;'=';1870.0;nM;5.73;;;UO_0000065;19.17;0.41;2.83;8.39;0;CHEMBL916302;Inhibition of COX2 in human whole blood assessed as inhibition of LPS-stimulated PGE2 production;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1149303;1;Scientific Literature;J Med Chem;2004;;;;;1.87
CHEMBL1630235;;;322.67;0;3.53;15;CCOc1c(Cl)ccc2c1C=C(C(=O)O)C(C(F)(F)F)O2;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL1639903;Inhibition of human COX2;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1629461;1;Scientific Literature;Bioorg Med Chem Lett;2010;;;;;100.0
CHEMBL118;CELECOXIB;4.0;381.38;0;3.51;celecoxib;Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1;IC50;'=';60.0;nM;7.22;;;UO_0000065;18.94;0.38;3.71;9.26;0;CHEMBL941994;Inhibition of COX2;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1139828;1;Scientific Literature;Bioorg Med Chem Lett;2007;;;;;0.06
CHEMBL440001;;;426.51;0;4.02;22 (Racemic);C[C@H]1C(Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2=O)[C@@H]1C;IC50;'=';700.0;nM;6.16;;;UO_0000065;14.43;0.28;2.13;8.92;0;CHEMBL762902;In vitro inhibitory activity against prostaglandin G/H synthase 2 stably transfected in Human whole blood (HWB) cell;B;BAO_0000221;tissue-based format;;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1136575;1;Scientific Literature;Bioorg Med Chem Lett;2003;;;;;0.7
CHEMBL105350;BISDEMETHOXYCURCUMIN;;308.33;0;3.35;3;O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1;IC50;'=';36370.0;nM;4.44;;;UO_0000065;;;;;0;CHEMBL825457;"Anti-oxidant activity in DPPH radicak scavenging assay; n=3-4";F;BAO_0000019;assay format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1141914;1;Scientific Literature;Bioorg Med Chem Lett;2005;;;;;36.37
CHEMBL180239;CURCUMIN PYRAZOLE;;364.40;0;4.18;4;COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)[nH]n2)ccc1O;IC50;'=';9700.0;nM;5.01;;;UO_0000065;;;;;0;CHEMBL825457;"Anti-oxidant activity in DPPH radicak scavenging assay; n=3-4";F;BAO_0000019;assay format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1141914;1;Scientific Literature;Bioorg Med Chem Lett;2005;;;;;9.7
CHEMBL181529;;;365.39;0;4.44;7;COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O;IC50;'=';10710.0;nM;4.97;;;UO_0000065;;;;;0;CHEMBL825457;"Anti-oxidant activity in DPPH radicak scavenging assay; n=3-4";F;BAO_0000019;assay format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1141914;1;Scientific Literature;Bioorg Med Chem Lett;2005;;;;;10.71
CHEMBL270730;;;410.42;0;3.52;26;Cn1cccc1CNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1;IC50;'=';177.8;nM;6.75;;;UO_0000065;16.45;0.33;3.23;8.78;0;CHEMBL947226;Inhibition of human COX2;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1143107;1;Scientific Literature;Bioorg Med Chem;2008;;;;;177.8
CHEMBL270036;;;409.39;0;2.82;13;NS(=O)(=O)c1ccc(-c2nc(NCc3cccnc3)cc(C(F)(F)F)n2)cc1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL947226;Inhibition of human COX2;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1143107;1;Scientific Literature;Bioorg Med Chem;2008;;;;;10000.0
CHEMBL4091890;;;344.37;0;3.90;9a;N#Cc1c(N=Cc2ccco2)c(C(=O)Nc2ccccc2)n2c1CCC2;IC50;'=';780.0;nM;6.11;;;UO_0000065;17.74;0.32;2.21;7.33;0;CHEMBL4047088;Inhibition of human recombinant COX2 assessed as reduction in PGH2 formation by measuring PGF2alpha by colorimetric assay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL4043222;1;Scientific Literature;Bioorg Med Chem;2017;;;;;0.78
CHEMBL1221678;;;406.55;1;5.95;12b;CCCC/C(=C(\c1ccccc1)c1ccc(O)cc1)c1ccc(S(C)(=O)=O)cc1;IC50;'=';11800.0;nM;4.93;;;UO_0000065;12.12;0.23;-1.02;9.06;0;CHEMBL1227392;Inhibition of human recombinant COX2 by EIA;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1221239;1;Scientific Literature;Bioorg Med Chem Lett;2010;;;;;11.8
CHEMBL4071983;;;380.36;0;0.56;16;CCOC(=O)C1=C(N)n2c(=O)c3ncccc3c(=O)n2C1c1ccccc1O;IC50;'=';20.1;nM;7.70;;;UO_0000065;20.24;0.38;7.14;5.95;0;CHEMBL4030007;Inhibition of COX2 (unknown origin) using arachidonic acid as substrate pretreated for 10 mins followed by substrate addition measured after 2 mins by enzyme-immunoassay;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL4028830;1;Scientific Literature;Bioorg Med Chem Lett;2017;;;;;20.1
CHEMBL72515;;;380.81;0;2.41;26;COc1ccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)cc1Cl;IC50;'=';780.0;nM;6.11;;;UO_0000065;16.04;0.33;3.70;5.84;0;CHEMBL768956;Inhibitory activity against prostaglandin G/H synthase 2;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1133663;1;Scientific Literature;J Med Chem;2000;;;;;0.78
CHEMBL29697;;;351.26;0;4.61;32;O=[N+]([O-])c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL763093;In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2);B;BAO_0000357;single protein format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1130002;1;Scientific Literature;J Med Chem;1997;;;;;100.0
CHEMBL424313;;;404.52;1;5.29;2m;CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)nc3sc4ccccc4n23)cc1;IC50;'>';5000.0;nM;;;;UO_0000065;;;;;0;CHEMBL665718;In vitro inhibition of the production of PGE-2 in arachidonic acid stimulated chinese hamster ovary (CHO) cells transfected with human cyclooxygenase-2;B;BAO_0000219;cell-based format;;;;CHO;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1129863;1;Scientific Literature;Bioorg Med Chem Lett;1997;CHEMBL3308072;;;;5.0
CHEMBL358609;;;368.48;0;4.44;2h;Cc1cn2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nc2s1;IC50;'=';12.0;nM;7.92;;;UO_0000065;21.50;0.43;3.48;15.40;0;CHEMBL665718;In vitro inhibition of the production of PGE-2 in arachidonic acid stimulated chinese hamster ovary (CHO) cells transfected with human cyclooxygenase-2;B;BAO_0000219;cell-based format;;;;CHO;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1129863;1;Scientific Literature;Bioorg Med Chem Lett;1997;CHEMBL3308072;;;;0.012
CHEMBL270078;;;379.89;0;3.87;69;CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3cccs3)n2)cc1;IC50;'=';1.2;nM;8.92;;;UO_0000065;23.48;0.51;5.05;12.40;0;CHEMBL947228;Inhibition of human COX2 in human whole blood;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1143107;1;Scientific Literature;Bioorg Med Chem;2008;;;;;1.2
CHEMBL271572;;;424.45;0;3.56;45;Cn1cccc1CCNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1;IC50;'=';3980.0;nM;5.40;;;UO_0000065;12.72;0.25;1.84;7.02;0;CHEMBL947228;Inhibition of human COX2 in human whole blood;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1143107;1;Scientific Literature;Bioorg Med Chem;2008;;;;;3980.0
CHEMBL1170264;;;602.60;2;7.49;5;CCCCC(Sc1nc(OCCc2ccc(C(F)(F)F)cc2)cc(OCCc2ccc(C(F)(F)F)cc2)n1)C(=O)O;IC50;'>';40000.0;nM;;;;UO_0000065;;;;;1;CHEMBL1821165;Inhibition of human recombinant COX-2 assessed as residual activity by measuring formation of 12-HHT from arachidonic acid by HPLC analysis;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1817621;1;Scientific Literature;Bioorg Med Chem;2011;;;;;40.0
CHEMBL865;VALDECOXIB;4.0;314.37;0;2.96;4, valdecoxib;Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1;IC50;'=';40.0;nM;7.40;;;UO_0000065;23.53;0.46;4.44;8.58;0;CHEMBL926304;Inhibition of human recombinant COX2;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1140702;1;Scientific Literature;J Med Chem;2008;;;;;0.04
CHEMBL96947;;;358.85;0;4.18;32;Cc1cncc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)c1;IC50;'=';87.0;nM;7.06;;;UO_0000065;19.68;0.40;2.88;11.78;0;CHEMBL762908;In vitro inhibition of PGE-2 produced by arachidonic acid-stimulated CHO cells stably expressing human Prostaglandin G/H synthase 2;B;BAO_0000219;cell-based format;;;;CHO;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1130609;1;Scientific Literature;Bioorg Med Chem Lett;1998;CHEMBL3308072;;;;0.087
CHEMBL274893;SC-57666;;316.40;0;4.32;SC-57666;CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1;IC50;'<';300.0;nM;;;;UO_0000065;;;;;1;CHEMBL766988;Concentration (in uM) to inhibit 50% of Prostaglandin G/H synthase 2 (COX-2) and is expressed in IC50.;B;BAO_0000019;assay format;;;;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1131314;1;Scientific Literature;J Med Chem;1998;;;;;0.3
CHEMBL92793;;;344.82;0;3.87;29;CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccncc2)cc1;IC50;'=';101.0;nM;7.00;;;UO_0000065;20.29;0.42;3.13;11.68;0;CHEMBL762908;In vitro inhibition of PGE-2 produced by arachidonic acid-stimulated CHO cells stably expressing human Prostaglandin G/H synthase 2;B;BAO_0000219;cell-based format;;;;CHO;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1130609;1;Scientific Literature;Bioorg Med Chem Lett;1998;CHEMBL3308072;;;;0.101
CHEMBL364966;;;405.40;0;4.40;20;CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2C(=O)c2ccccc2)cc1;IC50;'=';250.0;nM;6.60;;;UO_0000065;16.29;0.32;2.20;10.30;0;CHEMBL831135;In vitro inhibitory concentration against Prostaglandin G/H synthase 2 (COX-2) in human whole blood;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1144447;1;Scientific Literature;J Med Chem;2005;;;;;0.25
CHEMBL122;ROFECOXIB;4.0;314.36;0;2.56;Rofecoxib;CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1;IC50;'=';500.0;nM;6.30;;;UO_0000065;20.04;0.39;3.74;10.43;1;CHEMBL831135;In vitro inhibitory concentration against Prostaglandin G/H synthase 2 (COX-2) in human whole blood;B;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL230;Prostaglandin G/H synthase 2;Homo sapiens;SINGLE PROTEIN;CHEMBL1144447;1;Scientific Literature;J Med Chem;2005;;;;;0.5
