Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL305507;;;350.44;0;2.95;18;CC(OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O)C1CC1;IC50;'=';6500.0;nM;5.19;;;UO_0000065;14.80;0.30;2.24;7.45;0;CHEMBL815860;Inhibitory activity against Human Cyclooxygenase-1 ( COX-1 ) in U937 Microsome COX-1 assay;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1131821;1;Scientific Literature;Bioorg Med Chem Lett;1999;;;;;6.5
CHEMBL16996;;;469.56;0;4.88;10a;COc1ccc(-c2nc(NCc3ccccc3)sc2-c2ccc(S(N)(=O)=O)cc2)cc1F;IC50;'=';10.0;nM;8.00;;;UO_0000065;17.04;0.34;3.12;8.48;0;CHEMBL769634;Inhibition of human Prostaglandin G/H synthase 1;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1131679;1;Scientific Literature;Bioorg Med Chem Lett;1999;;;;;0.01
CHEMBL139;DICLOFENAC;4.0;296.15;0;4.36;DICLOFENAC;O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl;IC50;'=';13.0;nM;7.89;;;UO_0000065;26.63;0.57;3.53;15.99;0;CHEMBL1909130;DRUGMATRIX: Cyclooxygenase COX-1 enzyme inhibition (substrate: Arachidonic acid);B;BAO_0000221;tissue-based format;Homo sapiens;;;Platelet;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3833781;;;;0.013
CHEMBL45886;;;437.49;0;4.20;1p;COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CN(c3ccc(F)cc3)C2=O)cc1;IC50;'=';2500.0;nM;5.60;;;UO_0000065;12.81;0.25;1.40;8.80;0;CHEMBL767754;Biochemical index for Prostaglandin G/H synthase 1 measured as, thromboxane 2 (TXB2) levels following blood coagulation;B;BAO_0000221;tissue-based format;;CHEMBL3638178;Blood;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1133261;1;Scientific Literature;Bioorg Med Chem Lett;2000;;;;;2.5
CHEMBL48332;;;407.47;0;4.19;1d;CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)N(c3ccc(F)cc3)C2)cc1;IC50;'=';5860.0;nM;5.23;;;UO_0000065;12.84;0.25;1.04;9.61;0;CHEMBL767754;Biochemical index for Prostaglandin G/H synthase 1 measured as, thromboxane 2 (TXB2) levels following blood coagulation;B;BAO_0000221;tissue-based format;;CHEMBL3638178;Blood;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1133261;1;Scientific Literature;Bioorg Med Chem Lett;2000;;;;;5.86
CHEMBL46637;;;298.37;0;2.94;83;CS(=O)(=O)c1ccc(-n2ccnc2-c2ccccc2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL768737;Concentration required to inhibit human prostaglandin G/H synthase 1 (COX-1) by 50%;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130039;1;Scientific Literature;J Med Chem;1997;;;;;100.0
CHEMBL1630237;;;354.71;0;4.80;19;O=C(O)C1=Cc2c(ccc(Cl)c2-c2ccccc2)OC1C(F)(F)F;IC50;'=';68400.0;nM;4.17;;;UO_0000065;11.74;0.24;-0.64;8.95;0;CHEMBL1639902;Inhibition of human COX1;B;BAO_0000357;single protein format;Homo sapiens;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1629461;1;Scientific Literature;Bioorg Med Chem Lett;2010;;;;;68.4
CHEMBL165;RESVERATROL;3.0;228.25;0;2.97;resveratrol, SRT501;Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;IC50;'=';2840.0;nM;5.55;;;UO_0000065;;;;;0;CHEMBL866165;Inhibition of COX1 assessed as TBX2 production in human whole blood;F;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1149501;1;Scientific Literature;Bioorg Med Chem Lett;2006;;;;;2.84
CHEMBL379206;;;277.31;0;2.46;2;NS(=O)(=O)c1ccc(/N=N/c2ccc(O)cc2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL866165;Inhibition of COX1 assessed as TBX2 production in human whole blood;F;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1149501;1;Scientific Literature;Bioorg Med Chem Lett;2006;;;;;100.0
CHEMBL213267;;;291.33;0;2.76;6;COc1ccc(/N=N/c2ccc(S(N)(=O)=O)cc2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL866165;Inhibition of COX1 assessed as TBX2 production in human whole blood;F;BAO_0000221;tissue-based format;Homo sapiens;CHEMBL3638178;Blood;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1149501;1;Scientific Literature;Bioorg Med Chem Lett;2006;;;;;100.0
