ID,SMILES,PriceMol,QED,Violation,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm,AD_Distance,In_AD,pIC50_COX2_pred,pIC50_COX1_pred,IC50_COX2_pred_nM,IC50_COX1_pred_nM,SI_pred,QSAR_score
A6C29N37,COc1cc(/C=C2\N=C(c3ccco3)N(c3ccccc3)C2=O)cc(OC)c1,184.28902,0.6301,none,64.27000000000001,5,4.131300000000003,374.3960000000002,0,5,106.69600000000004,28,28,4,22,6,1.0695951089638165,True,6.613004429324659,4.597764410730244,243.77859555142655,25248.500421702694,103.57144098148017,8.628244447919073
A94C17N37,CC(O)C1=N/C(=C\c2cc(Cl)cc(Cl)c2)C(=O)N1c1ccccc1,196.28418,0.835,Lipinski,52.900000000000006,3,4.160400000000004,361.22800000000007,1,3,97.4828,24,24,3,18,6,1.4899427369228742,True,6.624218672808326,4.8423025943162585,237.56438184827076,14377.964457104335,60.52239121556258,8.406134751300394
A44C39N37,O=C1/C(=C/c2cc(F)ccc2F)N=C(c2cccnc2)N1c1ccccc1,187.57488,0.6567,Lipinski,45.56,3,4.194300000000003,361.35100000000006,0,3,99.037,27,27,4,21,6,1.5786384387842778,True,6.881280451866816,5.1273528874496614,131.4375781138067,7458.424752996596,56.74499530521352,8.635208016283972
A44C11N46,CC(C)(C)C1=N/C(=C\c2cc(F)ccc2F)C(=O)N1Cc1ccccc1,184.37741999999997,0.7294,Lipinski,32.67,3,4.792700000000004,354.40000000000003,0,2,98.217,26,26,3,21,5,2.00057544573467,True,7.541379433872895,5.338898331290708,28.74885590660908,4582.491506764705,159.39735207727816,9.74386053645508
A98C10N1,O=C1/C(=C/c2cccc(Cl)c2Cl)N=C(c2ccccc2)N1CCO,164.78166,0.8462,none,52.900000000000006,4,3.6156000000000046,361.22800000000007,1,3,96.21680000000002,24,24,3,18,6,1.3823701186599815,True,6.640348924658867,4.931899146023081,228.90278430831404,11697.7100939374,51.10339801800535,8.348798703294653
A64C26N40,CC(=O)NCC1=N/C(=C\C=C\c2ccccc2)C(=O)N1c1ccccc1Br,193.79385999999997,0.74,none,61.77,5,3.927600000000003,424.29800000000006,1,3,111.30570000000004,27,27,3,21,6,0.99476886342531,True,6.987815261754283,5.4041866567862105,102.84536841249074,3942.878034626925,38.337925134488174,8.571443866722355
A77C19N37,O=C1/C(=C/c2ccccn2)N=C(c2ccsc2)N1c1ccccc1,171.16341999999997,0.6816,none,45.56,3,3.9776000000000025,331.40000000000003,0,4,96.998,24,24,4,19,5,1.776959923822292,True,6.711178729521952,4.726743715330639,194.45596529806312,18761.0130122435,96.47949335720568,8.695613743713263
A58C39N19,Cc1cccc(N2C(=O)/C(=C/c3ccccc3Br)N=C2c2cccnc2)c1,191.03202,0.5631,Lipinski,45.56,3,4.987020000000004,418.2940000000001,0,3,111.558,27,27,4,22,5,1.769413112466138,True,6.6163463337101485,4.621789981609545,241.90991356596885,23889.6627239149,98.75437666757789,8.610902685810752
A77C29N14,O=C1/C(=C/c2ccccn2)N=C(c2ccco2)N1c1ccccn1,187.78992999999997,0.6966,none,71.59,3,2.9041000000000015,316.32,0,5,89.18200000000002,24,24,4,18,6,1.7371788712550205,True,6.696744673600564,4.213689725682903,201.02743271720223,61137.865801379536,304.12697896503494,9.179799621518224
A24C9N11,COc1ccc(N2C(=O)/C(=C/c3ccc(Cl)cc3)N=C2c2ccc[nH]2)cc1,187.97303999999997,0.6798,Lipinski,57.69,4,4.511200000000003,377.8310000000001,1,3,107.2387,27,27,4,21,6,1.1771185306614416,True,7.928736042996827,5.6565132967648815,11.783219205030594,2205.396612879618,187.1641844648083,10.200958789228771
