ID,SMILES,PriceMol,QED,Violation,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm,AD_Distance,In_AD,pIC50_COX2_pred,pIC50_COX1_pred,IC50_COX2_pred_nM,IC50_COX1_pred_nM,SI_pred,QSAR_score
A113C502S,Cc1ccc(O)c(/C=C2\N=C(c3ccc(F)cc3C(F)(F)F)SC2=O)c1,189.0929,0.5935,Lipinski,49.66,2,4.919620000000002,381.35,1,4,91.3578,26,26,3,18,8,1.555532815115728,True,5.603490673882379,4.8948579066704685,2491.777879564607,12739.198164497377,5.112493480648171,6.31212344109429
A29C362S,O=C1SC(c2cc(F)cc(F)c2)=N/C1=C\c1cccs1,163.27500999999998,0.7822,none,29.43,2,4.0874000000000015,307.346,0,4,77.78900000000002,20,20,3,14,6,2.6288025116098725,True,5.651449504358483,5.747872847919029,2231.2616223304494,1787.0106965554598,0.8008969807355042,5.555026160797937
A31C127S,COC(=O)c1ccc(/C=C2\N=C(c3ccc(C)s3)SC2=O)cc1,186.46069,0.6263,none,55.73,3,3.9042200000000022,343.42900000000003,0,6,93.9495,23,23,3,17,6,1.6696177323208077,True,5.376468334711198,6.080047537607693,4202.731695267847,831.672731732946,0.1978886096082187,4.672889131814704
A113C561S,Cc1ccc(O)c(/C=C2\N=C(c3ccc(F)cc3Br)SC2=O)c1,177.45764,0.7566,Lipinski,49.66,2,4.663320000000002,392.249,1,4,94.0558,23,23,3,17,6,1.743388320416282,True,5.913619457892718,5.2758677647630785,1220.0581829870414,5298.247419002893,4.34261864957236,6.551371151022358
A31C362S,COC(=O)c1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)SC2=O)cc1,161.40303999999998,0.6177,none,55.73,3,3.8125000000000018,359.35300000000007,0,5,91.2515,25,25,3,18,7,1.397404901305345,True,6.305621636587522,4.337953527322955,494.7415250034019,45924.715300248616,92.8256735674913,8.27328974585209
A97C141S,COc1cc(/C=C2\N=C(C=C(C)C)SC2=O)cc(OC)c1,132.49478,0.7961,none,47.89,4,3.682800000000002,303.38300000000004,0,5,86.98700000000004,21,21,2,16,5,2.3500930362517973,True,5.868043525855507,5.096395890370897,1355.053599382493,8009.476096810081,5.91081865725463,6.639691161340116
A31C561S,COC(=O)c1ccc(/C=C2\N=C(c3ccc(F)cc3Br)SC2=O)cc1,186.25774,0.5446,Lipinski,55.73,3,4.435900000000002,420.25900000000007,0,5,98.9935,25,25,3,18,7,1.3211346842983167,True,6.561877702980807,5.2753901803504775,274.23463059883596,5304.076993839362,19.34138289630688,7.848365225611136
A113C177S,Cc1ccc(O)c(/C=C2\N=C(c3cc(O)nc4ccccc34)SC2=O)c1,188.3238,0.6731,none,82.78,2,4.015520000000001,362.4100000000001,2,6,103.3636,26,26,4,20,6,1.4287456262232596,True,6.082139637235966,5.4611231904349244,827.6760010600492,3458.412638031556,4.178461902486215,6.7031560840370075
A67C77S,Cc1ccc(/C=C2\N=C(CN(C)C)SC2=O)cc1C,142.87536999999998,0.7945,Ghose,32.67,3,2.8778400000000017,274.389,0,4,82.48000000000003,19,19,2,15,4,3.0066030523935026,True,5.888118889348219,6.106916259407123,1293.8416001511705,781.7785324683995,0.604230481055067,5.669321519289314
