ChEMBL_ID;SMILES;IC50_COX1_median;IC50_COX2_median;IC50_COX1_mean;IC50_COX2_mean
CHEMBL1288565;Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;470.0;67.5;470.0;67.5
CHEMBL1288566;Cc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2;1080.0;134.0;1080.0;134.0
CHEMBL1288590;O=C(O)C1=Cc2c(Cl)ccc(Cl)c2OC1C(F)(F)F;11000.0;100.0;11000.0;100.0
CHEMBL1288591;O=C(O)C1=Cc2ccc(Cl)c(Cl)c2OC1C(F)(F)F;300000.0;300000.0;300000.0;300000.0
CHEMBL1288592;O=C(O)C1=Cc2c(cc(Cl)c(Cl)c2Cl)OC1C(F)(F)F;880.0;6.0;880.0;6.0
CHEMBL1288600;Cc1cc(C)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2;169000.0;100.0;169000.0;100.0
CHEMBL1288601;COc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2;25600.0;240.0;25600.0;240.0
CHEMBL1288602;COc1cc(C)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;9620.0;3330.0;9620.0;3330.0
CHEMBL1288617;O=C(O)C1=Cc2cc(Cl)c(Cl)c(Cl)c2OC1C(F)(F)F;2700.0;43.0;2700.0;43.0
CHEMBL1288618;C=Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;140.0;18.0;140.0;18.0
CHEMBL1288619;C#Cc1cc(Cl)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;;43.0;;43.0
CHEMBL1288640;C#Cc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2;140.0;26.0;140.0;26.0
CHEMBL1288641;CCc1cc(C)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2;140.0;270.0;140.0;270.0
CHEMBL1288642;Cc1cc2c(c(C)c1Cl)C=C(C(=O)O)[C@H](C(F)(F)F)O2;30800.0;1280.0;30800.0;1280.0
CHEMBL1288695;Cc1c(Cl)cc2c(c1C)O[C@H](C(F)(F)F)C(C(=O)O)=C2;4990.0;30.0;4990.0;30.0
CHEMBL1288696;Cc1c(Cl)cc2c(c1C)O[C@@H](C(F)(F)F)C(C(=O)O)=C2;100000.0;100000.0;100000.0;100000.0
CHEMBL1288697;Cc1cc(C)c2c(c1)C=C(C(=O)O)[C@@H](C(F)(F)F)O2;100000.0;290.0;100000.0;290.0
CHEMBL1288728;Cc1cc2c(c(C)c1Cl)C=C(C(=O)O)[C@@H](C(F)(F)F)O2;2280.0;46.0;2280.0;46.0
CHEMBL1288730;Cc1cc(Cl)c(C)c2c1OC(C(F)(F)F)C(C(=O)O)=C2;2580.0;210.0;2580.0;210.0
CHEMBL1288771;Cc1cc2c(c(C)c1Cl)C=C(C(=O)O)C(C(F)(F)F)O2;29800.0;99.5;29800.0;99.5
CHEMBL1288772;Cc1c(Cl)cc2c(c1C)OC(C(F)(F)F)C(C(=O)O)=C2;36300.0;120.0;36300.0;120.0
CHEMBL1289128;CCCc1cc(OC(F)(F)F)cc2c1O[C@@H](C(F)(F)F)C(C(=O)O)=C2;100000.0;1700.0;100000.0;1700.0
CHEMBL1289129;CCCc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2;71700.0;42.0;71700.0;42.0
CHEMBL129021;COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2F)cc1;;150.0;;150.0
CHEMBL1290320;O=C(O)C1=Cc2cc(Cl)cc(-c3ccccc3)c2OC1C(F)(F)F;2325.0;149.0;2325.0;149.0
CHEMBL1290321;O=C(O)C1=Cc2cc(Cl)cc(C#Cc3ccccc3)c2OC1C(F)(F)F;33000.0;140.0;33000.0;140.0
CHEMBL1290433;NS(=O)(=O)c1ccc(-c2cc(Cl)cc3c2OC(C(F)(F)F)C(C(=O)O)=C3)cc1;46570.0;759.0;46570.0;759.0
CHEMBL1290434;NS(=O)(=O)c1ccc(C#Cc2cc(Cl)cc3c2OC(C(F)(F)F)C(C(=O)O)=C3)cc1;410.0;18600.0;410.0;18600.0
CHEMBL1290459;O=C(O)C1=Cc2cc(OC(F)(F)F)ccc2OC1C(F)(F)F;17000.0;29.0;17000.0;29.0
CHEMBL1290563;O=C(O)C1=Cc2cc(C(F)(F)F)ccc2OC1C(F)(F)F;4390.0;41.0;4390.0;41.0
CHEMBL1290564;Cc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;140.0;16.0;140.0;16.0
CHEMBL1290565;CCc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;500.0;61.5;500.0;61.5
CHEMBL1290682;CCCc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;7000.0;43.0;7000.0;43.0
CHEMBL1290683;COc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2;320.0;680.0;320.0;680.0
CHEMBL1290684;CCc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2;19900.0;60.0;19900.0;60.0
