ID,SMILES,PriceMol,QED,Violation,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm,AD_Distance,In_AD,pIC50_COX2_pred,pIC50_COX1_pred,IC50_COX2_pred_nM,IC50_COX1_pred_nM,SI_pred,QSAR_score
A18C43N46,O=C1/C(=C/c2ccc(O)cc2)N=C(C(F)(F)F)N1Cc1ccccc1,6798.086880000001,0.8611,none,52.9,3,3.7363000000000017,346.30800000000005,1,3,86.5658,25,25,3,18,7,1.503478987961581,True,6.593960728792843,4.528724475628946,254.70605608776512,29598.8967922627,116.20806056556304,8.65919698195674
A34C8N55,O=C1/C(=C/c2ccc[nH]2)N=C(c2cccc(Cl)c2)N1c1ccc(CO)cc1,352.85865999999993,0.6747,none,68.69,4,3.994900000000003,377.8310000000001,2,3,106.6095,27,27,4,21,6,1.1614610715491862,True,8.032123367264486,5.798430296378775,9.287025386979725,1590.631957410097,171.27464297019583,10.265816438150196
A91C32N36,COc1ccc(C2=N/C(=C\c3cnccn3)C(=O)N2c2ccccc2OC)c(Br)c1,1777.9080999999996,0.531,none,76.91,5,4.090800000000003,465.3070000000002,0,6,117.72,30,30,4,22,8,1.1840684234700414,True,6.4129310750055115,4.1204003231874395,386.4283005481005,75787.86569278708,196.12400433739305,8.705461826823583
A94C11N1,CC(C)(C)C1=N/C(=C\c2cc(Cl)cc(Cl)c2)C(=O)N1CCO,187.08878,0.8541,none,52.900000000000006,3,3.6134000000000026,341.2380000000001,1,3,90.12780000000004,22,22,2,16,6,2.1355971567843555,True,6.497179819710964,4.66125069062499,318.28793770581905,21814.703240518505,68.53763732850277,8.333108948796937
A17C38N48,O=C(NCC1=N/C(=C\c2ccc(F)cc2F)C(=O)N1C1CCc2ccccc21)c1ccccc1,580.53564,0.5666,Lipinski,61.77,5,4.663900000000004,457.4800000000002,1,3,124.89519999999996,34,34,5,27,7,2.2648351611085813,True,6.84653855807554,5.1094787767580785,142.38408278182786,7771.792973126654,54.58329906886579,8.583598339393003
A14C34N14,Cn1cccc1C1=N/C(=C\c2cc3ccccc3o2)C(=O)N1c1ccccn1,947.02869,0.5136,none,63.63,3,4.0008000000000035,368.3960000000002,0,5,107.86400000000005,28,28,5,22,6,1.7613468081751742,True,6.4713798443770765,4.499749928819888,337.76928585313016,31640.99056149094,93.67634029119264,8.443009759934265
A47C29N51,CC(C)(C)OC(=O)CN1C(=O)/C(=C/c2cccnc2)N=C1c1ccco1,253.51776,0.623,none,85.0,4,2.646200000000001,353.3780000000001,0,6,95.01700000000002,26,26,3,19,7,1.3203024633119895,True,7.260585253103526,5.1492945882701875,54.88008140467302,7090.966142375159,129.20837507670615,9.371875917936864
A9C19N14,Cc1cc(F)ccc1/C=C1\N=C(c2ccsc2)N(c2ccccn2)C1=O,274.94674,0.6466,Lipinski,45.56,3,4.425120000000003,363.4170000000001,0,4,101.693,26,26,4,20,6,1.4981853569546804,True,6.648409335228304,4.472180819943473,224.6935804881973,33714.69072030499,150.04741411415603,8.824637850513135
A9C12N48,CC1=N/C(=C\c2ccc(F)cc2C)C(=O)N1C1CCc2ccccc21,471.7315699999999,0.7482,Lipinski,32.67,2,4.4231200000000035,334.39400000000006,0,2,96.57300000000004,25,25,4,21,4,2.3274233304405687,True,7.299223605990336,5.976886732786934,50.20840140513544,1054.661924155511,21.005686192742196,8.621560479193738
A9C26N48,CC(=O)NCC1=N/C(=C\c2ccc(F)cc2C)C(=O)N1C1CCc2ccccc21,473.09764999999993,0.8107,none,61.77,4,3.5393200000000027,391.44600000000014,1,3,109.58270000000002,29,29,4,23,6,1.2007399589977727,True,7.3177602854215795,6.070759435618048,48.1104827342874,849.6509833508414,17.66041276375121,8.564761135225112
A73C12N17,CC1=N/C(=C\c2cc(F)cc(F)c2)C(=O)N1Cc1cccc2ccccc12,763.5739999999998,0.6089,Lipinski,32.67,3,4.919700000000003,362.379,0,2,101.94200000000002,27,27,4,22,5,2.027950384610435,True,7.951888687583635,5.248661949522323,11.17149543567172,5640.765565313597,504.9248417809902,10.655115425644947
A94C9N55,O=C1/C(=C/c2cc(Cl)cc(Cl)c2)N=C(c2ccc[nH]2)N1c1ccc(CO)cc1,275.96140999999994,0.613,Lipinski,68.69,4,4.648300000000004,412.2760000000001,2,3,111.61950000000002,28,28,4,21,7,1.139188891472412,True,6.892855218220615,5.081581798843949,127.98078856324096,8287.398094247577,64.75501664964666,8.70412863759728
A9C26N40,CC(=O)NCC1=N/C(=C\c2ccc(F)cc2C)C(=O)N1c1ccccc1Br,272.52175,0.7503,none,61.77,4,3.818920000000003,430.277,1,3,106.86070000000002,27,27,3,20,7,0.9441103015270128,True,7.802866259517337,5.66261714880345,15.744676453062198,2174.617362544325,138.11762782342734,9.943115370231226
