ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A73C35S,Cc1ccccc1C1=N/C(=C\c2cc(F)cc(F)c2)C(=O)S1,166.76695999999998,54.730000000000004,2,4.334320000000003,315.34400000000005,0,3,84.64900000000002,22,22,3,17,5
A44C35S,Cc1ccccc1C1=N/C(=C\c2cc(F)ccc2F)C(=O)S1,185.24048,54.730000000000004,2,4.334320000000003,315.34400000000005,0,3,84.64900000000002,22,22,3,17,5
A96C35S,Cc1ccccc1C1=N/C(=C\c2cc3ccccc3[nH]2)C(=O)S1,915.8440399999996,70.52,2,4.537420000000003,318.40100000000007,1,3,96.58970000000004,23,23,4,19,4
A99C35S,Cc1ccccc1C1=N/C(=C\c2cc3ccccc3n2C)C(=O)S1,4331.536800000001,59.66,2,4.547820000000003,332.4280000000001,0,3,101.21000000000005,24,24,4,20,4
A14C35S,Cc1ccccc1C1=N/C(=C\c2cc3ccccc3o2)C(=O)S1,418.655,67.87,2,4.8023200000000035,319.3850000000001,0,4,94.50500000000004,23,23,4,19,4
A63C35S,Cc1ccccc1C1=N/C(=C\c2ccc(Br)cc2)C(=O)S1,182.2452,54.730000000000004,2,4.818620000000003,358.26000000000005,0,3,92.43300000000004,21,21,3,17,4
A97C35S,Cc1ccccc1C1=N/C(=C\c2ccc(C#N)cc2)C(=O)S1,181.06176,78.52,2,3.927800000000002,304.3740000000001,0,4,89.44800000000004,22,22,3,18,4
A24C35S,Cc1ccccc1C1=N/C(=C\c2ccc(Cl)cc2)C(=O)S1,161.79774,54.730000000000004,2,4.709520000000003,313.8090000000001,0,3,89.74300000000004,21,21,3,17,4
A8C35S,Cc1ccccc1C1=N/C(=C\c2ccc(F)c(F)c2)C(=O)S1,233.55584,54.730000000000004,2,4.334320000000002,315.34400000000005,0,3,84.64900000000002,22,22,3,17,5
A56C35S,Cc1ccccc1C1=N/C(=C\c2ccc(F)cc2)C(=O)S1,154.22844,54.730000000000004,2,4.195220000000003,297.35400000000004,0,3,84.69100000000003,21,21,3,17,4
A17C35S,Cc1ccccc1C1=N/C(=C\c2ccc(F)cc2F)C(=O)S1,283.29224,54.730000000000004,2,4.334320000000002,315.34400000000005,0,3,84.64900000000002,22,22,3,17,5
A18C35S,Cc1ccccc1C1=N/C(=C\c2ccc(O)cc2)C(=O)S1,175.29471999999998,74.96000000000001,2,3.761720000000002,295.36300000000006,1,4,86.39780000000003,21,21,3,17,4
A23C35S,Cc1ccccc1C1=N/C(=C\c2ccc(O)cc2O)C(=O)S1,211.77726,95.19000000000001,2,3.4673200000000013,311.3620000000001,2,5,88.06260000000002,22,22,3,17,5
A92C35S,Cc1ccccc1C1=N/C(=C\c2ccc3ccccc3n2)C(=O)S1,367.47184,67.62,2,4.604320000000003,330.4120000000001,0,4,100.03400000000005,24,24,4,20,4
A34C35S,Cc1ccccc1C1=N/C(=C\c2ccc[nH]2)C(=O)S1,280.68093,70.52,2,3.384220000000002,268.341,1,3,79.08370000000002,19,19,3,15,4
A80C35S,Cc1ccccc1C1=N/C(=C\c2cccc(Br)c2)C(=O)S1,182.2452,54.730000000000004,2,4.818620000000003,358.26000000000005,0,3,92.43300000000004,21,21,3,17,4
A53C35S,Cc1ccccc1C1=N/C(=C\c2cccc(Cl)c2)C(=O)S1,187.10016000000002,54.730000000000004,2,4.709520000000002,313.8090000000001,0,3,89.74300000000004,21,21,3,17,4
A46C35S,Cc1ccccc1C1=N/C(=C\c2cccc(F)c2)C(=O)S1,154.22844,54.730000000000004,2,4.195220000000003,297.35400000000004,0,3,84.69100000000003,21,21,3,17,4
A16C35S,Cc1ccccc1C1=N/C(=C\c2cccc(F)c2F)C(=O)S1,230.71376,54.730000000000004,2,4.334320000000002,315.34400000000005,0,3,84.64900000000002,22,22,3,17,5
A42C35S,Cc1ccccc1C1=N/C(=C\c2cccc3cccnc23)C(=O)S1,650.3814399999999,67.62,2,4.604320000000003,330.4120000000001,0,4,100.03400000000003,24,24,4,20,4
A58C35S,Cc1ccccc1C1=N/C(=C\c2ccccc2Br)C(=O)S1,182.2452,54.730000000000004,2,4.818620000000002,358.26000000000005,0,3,92.43300000000004,21,21,3,17,4
A93C35S,Cc1ccccc1C1=N/C(=C\c2ccccc2Cl)C(=O)S1,161.79773999999998,54.730000000000004,2,4.709520000000002,313.8090000000001,0,3,89.74300000000004,21,21,3,17,4
A54C35S,Cc1ccccc1C1=N/C(=C\c2ccccc2F)C(=O)S1,154.22844,54.730000000000004,2,4.195220000000002,297.35400000000004,0,3,84.69100000000003,21,21,3,17,4
A77C35S,Cc1ccccc1C1=N/C(=C\c2ccccn2)C(=O)S1,154.97648,67.62,2,3.451120000000002,280.35200000000003,0,4,82.52800000000003,20,20,3,16,4
A67C35S,Cc1ccccc1C1=N/C(=C\c2cccn2C)C(=O)S1,302.29663999999997,59.66,2,3.3946200000000024,282.368,0,3,83.70400000000004,20,20,3,16,4
A47C35S,Cc1ccccc1C1=N/C(=C\c2cccnc2)C(=O)S1,208.53248,67.62,2,3.451120000000002,280.35200000000003,0,4,82.52800000000003,20,20,3,16,4
A86C35S,Cc1ccccc1C1=N/C(=C\c2ccco2)C(=O)S1,141.3351,67.87,2,3.6491200000000017,269.325,0,4,76.99900000000002,19,19,3,15,4
A2C35S,Cc1ccccc1C1=N/C(=C\c2cccs2)C(=O)S1,174.52157,82.97,2,4.117620000000002,285.39300000000003,0,4,82.61000000000003,19,19,3,15,4
A82C35S,Cc1ccccc1C1=N/C(=C\c2ccncc2)C(=O)S1,163.54544,67.62,2,3.451120000000002,280.35200000000003,0,4,82.52800000000003,20,20,3,16,4
A48C35S,Cc1ccccc1C1=N/C(=C\c2ccoc2)C(=O)S1,1134.8539999999998,67.87,2,3.6491200000000017,269.325,0,4,76.99900000000002,19,19,3,15,4
A65C35S,Cc1ccccc1C1=N/C(=C\c2ccsc2)C(=O)S1,155.45556,82.97,2,4.117620000000002,285.39300000000003,0,4,82.61000000000003,19,19,3,15,4
A62C35S,Cc1ccccc1C1=N/C(=C\c2cn(C)c3ccccc23)C(=O)S1,200.6082,59.66,2,4.547820000000002,332.4280000000001,0,3,101.21000000000004,24,24,4,20,4
A70C35S,Cc1ccccc1C1=N/C(=C\c2cnc3ccccc3n2)C(=O)S1,4051.135999999999,80.51,2,3.9993200000000027,331.4000000000001,0,5,97.82900000000004,24,24,4,19,5
A11C35S,Cc1ccccc1C1=N/C(=C\c2cnc[nH]2)C(=O)S1,225.89526,83.41,2,2.7792200000000005,269.329,1,4,76.87870000000002,19,19,3,14,5
A91C35S,Cc1ccccc1C1=N/C(=C\c2cnccn2)C(=O)S1,1578.1059999999995,80.51,2,2.846120000000001,281.34000000000003,0,5,80.32300000000002,20,20,3,15,5
A75C35S,Cc1ccccc1C1=N/C(=C\c2cncs2)C(=O)S1,413.9308,95.86,2,3.512620000000002,286.38100000000003,0,5,80.40500000000003,19,19,3,14,5
A43C35S,Cc1ccccc1C1=N/C(=C\c2cscn2)C(=O)S1,1002.264,95.86,2,3.512620000000002,286.38100000000003,0,5,80.40500000000003,19,19,3,14,5
A39C35S,Cc1ccccc1C1=N/C(=C\c2nc3ccccc3[nH]2)C(=O)S1,822.0350399999999,83.41,2,3.9324200000000022,319.38900000000007,1,4,94.38470000000004,23,23,4,18,5
A41C35S,Cc1ccccc1C1=N/C(=C\c2nccs2)C(=O)S1,294.00133999999997,95.86,2,3.512620000000002,286.38100000000003,0,5,80.40500000000003,19,19,3,14,5
A99C15S,Cn1c(/C=C2N=C(/C=C/c3c[nH]cn3)SC\2=O)cc2ccccc21,4810.7174,88.34,3,3.627600000000002,334.40400000000005,1,4,98.5507,24,24,4,18,6
A99C11S,Cn1c(/C=C2\N=C(C(C)(C)C)SC2=O)cc2ccccc21,4291.38198,59.660000000000004,1,4.237200000000003,298.411,0,3,90.38400000000004,21,21,3,17,4
A99C43S,Cn1c(/C=C2\N=C(C(F)(F)F)SC2=O)cc2ccccc21,10915.0372,59.660000000000004,1,3.753400000000002,310.3,0,3,76.98400000000002,21,21,3,14,7
A99C18S,Cn1c(/C=C2\N=C(CNC(=O)C(F)(F)F)SC2=O)cc2ccccc21,4398.3674,88.75999999999999,3,2.869600000000001,367.3520000000001,1,4,89.9937,25,25,3,16,9
A99C38S,Cn1c(/C=C2\N=C(CNC(=O)c3ccccc3)SC2=O)cc2ccccc21,4359.0728,88.75999999999999,4,3.621100000000002,375.45300000000015,1,4,109.70420000000001,27,27,4,21,6
A99C30S,Cn1c(/C=C2\N=C(Cc3ccc(F)cc3)SC2=O)cc2ccccc21,4315.305200000001,59.660000000000004,3,4.572900000000003,350.4180000000001,0,3,101.03300000000002,25,25,4,20,5
A99C6S,Cn1c(/C=C2\N=C(c3ccc(Cl)s3)SC2=O)cc2ccccc21,4319.19542,87.9,2,4.954300000000003,358.8750000000001,0,4,99.36000000000001,23,23,4,17,6
A99C9S,Cn1c(/C=C2\N=C(c3ccc[nH]3)SC2=O)cc2ccccc21,4311.0608,75.44999999999999,2,3.5675000000000017,307.37800000000004,1,3,90.82370000000002,22,22,4,17,5
A99C8S,Cn1c(/C=C2\N=C(c3cccc(Cl)c3)SC2=O)cc2ccccc21,4316.42208,59.660000000000004,2,4.892800000000003,352.8460000000001,0,3,101.48300000000002,24,24,4,19,5
A99C10S,Cn1c(/C=C2\N=C(c3ccccc3)SC2=O)cc2ccccc21,4300.577380000001,59.660000000000004,2,4.239400000000003,318.40100000000007,0,3,96.47300000000001,23,23,4,19,4
A99C27S,Cn1c(/C=C2\N=C(c3ccccn3)SC2=O)cc2ccccc21,4323.19184,72.55000000000001,2,3.634400000000002,319.38900000000007,0,4,94.26800000000001,23,23,4,18,5
A99C39S,Cn1c(/C=C2\N=C(c3cccnc3)SC2=O)cc2ccccc21,4301.03186,72.55000000000001,2,3.634400000000002,319.38900000000007,0,4,94.26800000000001,23,23,4,18,5
A99C29S,Cn1c(/C=C2\N=C(c3ccco3)SC2=O)cc2ccccc21,4309.40952,72.80000000000001,2,3.8324000000000025,308.362,0,4,88.73900000000002,22,22,4,17,5
A99C20S,Cn1c(/C=C2\N=C(c3cccs3)SC2=O)cc2ccccc21,4303.35072,87.9,2,4.300900000000003,324.43000000000006,0,4,94.35000000000001,22,22,4,17,5
A99C14S,Cn1c(/C=C2\N=C(c3ccnc4ccccc34)SC2=O)cc2ccccc21,5013.280040000001,72.55000000000001,2,4.787600000000004,369.4490000000001,0,4,111.77400000000002,27,27,5,22,5
A99C21S,Cn1c(/C=C2\N=C(c3ccncc3)SC2=O)cc2ccccc21,4301.03186,72.55000000000001,2,3.634400000000002,319.38900000000007,0,4,94.26800000000001,23,23,4,18,5
A99C19S,Cn1c(/C=C2\N=C(c3ccsc3)SC2=O)cc2ccccc21,4314.8844,87.9,2,4.300900000000003,324.43000000000006,0,4,94.35000000000001,22,22,4,17,5
A99C3S,Cn1c(/C=C2\N=C(c3cnc4ccccc4c3)SC2=O)cc2ccccc21,4408.9132500000005,72.55000000000001,2,4.787600000000004,369.4490000000001,0,4,111.77400000000003,27,27,5,22,5
A62C15S,Cn1cc(/C=C2N=C(/C=C/c3c[nH]cn3)SC\2=O)c2ccccc21,679.7887999999999,88.34,3,3.627600000000002,334.4040000000001,1,4,98.5507,24,24,4,18,6
