ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A67C141N662,COC(=O)C(C(C)C)N1C(=O)/C(=C/c2ccc(C)c(C)c2)N=C1C=C(C)C,186.56462,58.97,5,4.048840000000003,368.47700000000015,0,4,108.24700000000007,27,27,2,22,5
A113C141N265,COC(=O)CCN1C(=O)/C(=C/c2cc(C)ccc2O)N=C1C=C(C)C,176.97503999999998,79.2,5,2.8115200000000007,342.3950000000001,1,5,96.03280000000004,25,25,2,19,6
A97C141N265,COC(=O)CCN1C(=O)/C(=C/c2cc(OC)cc(OC)c2)N=C1C=C(C)C,186.7025,77.43,7,2.814700000000001,372.42100000000016,0,6,102.73500000000007,27,27,2,20,7
A31C141N265,COC(=O)CCN1C(=O)/C(=C/c2ccc(C(=O)OC)cc2)N=C1C=C(C)C,185.77514,85.27,6,2.5841000000000003,370.40500000000014,0,6,100.97050000000006,27,27,2,20,7
A67C141N265,COC(=O)CCN1C(=O)/C(=C/c2ccc(C)c(C)c2)N=C1C=C(C)C,171.98342000000002,58.97,5,3.414340000000002,340.4230000000001,0,4,99.10500000000006,25,25,2,20,5
A67C77N265,COC(=O)CCN1C(=O)/C(=C/c2ccc(C)c(C)c2)N=C1CN(C)C,197.08308999999997,62.21,6,2.00974,343.42700000000013,0,5,98.22800000000005,25,25,2,19,6
A34C141N265,COC(=O)CCN1C(=O)/C(=C/c2cccc(C(F)(F)F)c2)N=C1C=C(C)C,190.3572,58.97,5,3.8163000000000027,380.3660000000001,0,4,94.63300000000004,27,27,2,19,8
A29C141N265,COC(=O)CCN1C(=O)/C(=C/c2cccs2)N=C1C=C(C)C,187.64710999999997,87.21,5,2.859000000000001,318.39800000000014,0,5,87.50800000000004,22,22,2,16,6
A31C141N247,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(C(=O)CN)C2=O)cc1,172.41766,102.06,4,1.5062999999999998,341.36700000000013,1,6,93.53190000000001,25,25,2,18,7
A31C141N240,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(C3CCN(C)CC3)C2=O)cc1,192.36646,62.21,4,3.1152000000000015,381.4760000000002,0,5,109.98950000000004,28,28,3,22,6
A31C141N247,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(CC(N)=O)C2=O)cc1,172.41766,102.06,5,1.5062999999999998,341.3670000000001,1,5,93.53190000000001,25,25,2,18,7
A31C141N282,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(CC(O)CO)C2=O)cc1,178.96672,99.43,6,1.3742,358.39400000000006,2,6,97.43010000000001,26,26,2,19,7
A31C141N660,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(CC3CCOC3)C2=O)cc1,176.18788,68.19999999999999,5,3.057500000000002,368.43300000000016,0,5,103.26350000000004,27,27,3,21,6
A31C141N101,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(CCO)C2=O)cc1,149.66606,79.19999999999999,5,2.0133,328.36800000000005,1,5,91.42330000000001,24,24,2,18,6
